meting,stoel,tijd,nagalmtijd,raw_recording,x,y,z
Meting 37,5 7 1,2023-03-23 11:13:32.985638,0.5242628308152408,"[[ 0.        ]
 [ 0.00537109]
 [ 0.00552368]
 ...
 [-0.00054932]
 [-0.00057983]
 [-0.00045776]]",6,2,2
Meting 38,5 8 1,2023-03-23 11:14:18.848317,0.5313797194870903,"[[ 0.0000000e+00]
 [ 6.1340332e-03]
 [ 6.3476562e-03]
 ...
 [ 6.1035156e-05]
 [-6.1035156e-05]
 [ 6.1035156e-05]]",7,2,2
Meting 39,6 1 1,2023-03-23 11:15:34.999798,0.6433776782926446,"[[ 0.0000000e+00]
 [ 5.5236816e-03]
 [ 5.2490234e-03]
 ...
 [-1.2207031e-04]
 [ 3.3569336e-04]
 [-3.0517578e-05]]",0,1,1
Meting 40,6,2023-03-23 11:16:39.948311,0.4882645417655046,"[[0.        ]
 [0.00665283]
 [0.00692749]
 ...
 [0.00048828]
 [0.00033569]
 [0.00021362]]",2,1,1
Meting 41,6 3 1,2023-03-23 11:17:53.145256,0.5088023523495475,"[[0.        ]
 [0.00588989]
 [0.00543213]
 ...
 [0.00039673]
 [0.00091553]
 [0.00054932]]",2,1,1
Meting 42,6 4 1,2023-03-23 11:18:41.484868,0.5683367097961006,"[[ 0.        ]
 [ 0.00576782]
 [ 0.00567627]
 ...
 [ 0.        ]
 [ 0.        ]
 [-0.00015259]]",5,1,1
Meting 43,6 5 1 ,2023-03-23 11:20:19.571994,0.5154199843195775,"[[0.        ]
 [0.00744629]
 [0.00735474]
 ...
 [0.00012207]
 [0.00021362]
 [0.00015259]]",4,1,1
Meting 44,6 6 1 ,2023-03-23 11:20:54.810947,0.4778163235004481,"[[ 0.        ]
 [ 0.00701904]
 [ 0.00665283]
 ...
 [-0.00015259]
 [ 0.        ]
 [-0.00030518]]",5,1,1
Meting 45,6 7 1,2023-03-23 11:21:53.929096,0.5141542331891562,"[[ 0.        ]
 [ 0.00488281]
 [ 0.00506592]
 ...
 [-0.00048828]
 [-0.00045776]
 [-0.00036621]]",6,1,1
Meting 46,6 8 1,2023-03-23 11:22:46.401077,0.46986619574415095,"[[0.        ]
 [0.00408936]
 [0.00408936]
 ...
 [0.00079346]
 [0.00073242]
 [0.00067139]]",7,1,1
Meting 47,7 1 1,2023-03-23 11:23:41.438657,0.40420798470374425,"[[0.        ]
 [0.00537109]
 [0.00509644]
 ...
 [0.00015259]
 [0.00015259]
 [0.00054932]]",0,0,0
Meting 48,7 2 1,2023-03-23 11:24:19.237711,0.43478575927194973,"[[0.        ]
 [0.0067749 ]
 [0.00662231]
 ...
 [0.00106812]
 [0.00097656]
 [0.00094604]]",1,0,0
Meting 49,7 3 1,2023-03-23 11:25:09.388021,0.5046692967844635,"[[ 0.        ]
 [ 0.00515747]
 [ 0.00527954]
 ...
 [-0.00079346]
 [-0.00073242]
 [-0.00094604]]",2,0,0
Meting 50,7 4 1,2023-03-23 11:25:51.233236,0.6220199569809925,"[[0.0000000e+00]
 [8.9416504e-03]
 [9.2468262e-03]
 ...
 [6.1035156e-05]
 [9.1552734e-05]
 [9.1552734e-05]]",3,0,0
Meting 51,7 5 1,2023-03-23 11:26:47.734877,0.37626379611876765,"[[0.        ]
 [0.00494385]
 [0.00497437]
 ...
 [0.00027466]
 [0.00036621]
 [0.00015259]]",4,0,0
Meting 52,7 6 1,2023-03-23 11:27:16.179861,0.44386077155537607,"[[0.0000000e+00]
 [5.3100586e-03]
 [5.5541992e-03]
 ...
 [1.8310547e-04]
 [1.2207031e-04]
 [9.1552734e-05]]",5,0,0
Meting 53,7 7 1,2023-03-23 11:27:54.283928,0.5576865296388958,"[[ 0.        ]
 [ 0.00576782]
 [ 0.00558472]
 ...
 [-0.00073242]
 [-0.00027466]
 [-0.00091553]]",6,0,0
Meting 54,7 8 1,2023-03-23 11:28:28.197768,0.5257030757049632,"[[0.        ]
 [0.0045166 ]
 [0.00473022]
 ...
 [0.00027466]
 [0.00015259]
 [0.00033569]]",7,0,0
